year;category;name;gender;born;age;country
2025;physics;u;male;1958;67;USA
2025;physics;Michel H. Devoret;male;1953;72;France
2025;physics;Juan Clarke;male;1942;83;United Kingdom
2025;chemistry;Omar M. Yaghi;male;1965;60;Jordan
2025;chemistry;Richard Robson;male;1937;88;United Kingdom
2025;chemistry;Susumu Kitagawa;male;1951;74;Japan
2025;medicine;Shimon Sakaguchi;male;1951;74;Japan
2025;medicine;Frederick J. Ramsdell;male;1960;65;USA
2025;medicine;María E. Brunkow;female;1961;64;USA
2025;economics;Peter Howitt;male;1946;79;Canada
2025;economics;Philippe Aghion;male;1956;69;France
2025;economics;Joel Mokyr;male;1946;79;the Netherlands
2024;physics;Geoffrey Hinton;male;1947;77;United Kingdom
2024;physics;John J. Hopfield;male;1933;91;USA
2024;chemistry;John Jumper;male;1985;39;USA
2024;chemistry;Demis Hassabis ;male;1976;48;United Kingdom
2024;chemistry;David Baker;male;1962;62;USA
2024;medicine;Víctor Ambros;male;1953;71;USA
2024;medicine;Gary Ruvkun;male;1952;72;USA
2024;economics;James A. Robinson;male;1960;64;United Kingdom
2024;economics;Simon Johnson ;male;1963;61;United Kingdom
2024;economics;Daron Acemoglu;male;1967;57;Turkey
2023;medicine;Katalin Kariko;female;1955;68;Hungary
2023;chemistry;Alexei Ekimov;male;1945;78;Russia
2023;chemistry;Louis Brus;male;1943;80;USA
2023;chemistry;Moungi Bawendi;male;1961;62;France
2023;physics;Anne L Huillier;female;1958;65;France
2023;physics;Ferenc Krausz;male;1962;61;Hungary
2023;physics;Pierre Agostini;male;1941;82;Tunisia
2023;medicine;Drew Weissman;male;1959;64;USA
2022;physics;Alain Aspect;male;1947;75;France
2022;medicine;Svante Paebo;male;1955;67;Sweden
2022;economics;Philip Dybvig;male;1955;67;USA
2022;economics;Douglas Diamond;male;1953;69;USA
2022;economics;Ben Bernanke;male;1953;69;USA
2022;chemistry;Morten Meldal;male;1954;68;Denmark
2022;chemistry;Carolyn Bertozzi;female;1966;56;USA
2022;physics;Anton Zeilinger;male;1945;77;Austria
2022;physics;John Clauser;male;1942;80;USA
2022;chemistry;Barry Sharpless;male;1941;81;USA
2021;chemistry;Benjamin List;male;1968;53;Germany
2021;economics;Guido Imbens;male;1963;58;the Netherlands
2021;economics;Joshua Angrist;male;1960;61;USA
2021;economics;David Card;male;1956;65;Canada
2021;chemistry;David MacMillan;male;1968;53;United Kingdom
2021;physics;Giorgio Parisi;male;1948;73;Italy
2021;physics;Klaus Hasselmann;male;1931;90;Germany
2021;physics;Syukuro Manabe;male;1931;90;Japan
2021;medicine;Ardem Patapoutian;male;1967;54;Lebanon
2021;medicine;David Julius;male;1955;66;USA
2020;economics;Robert Wilson;male;1937;83;USA
2020;economics;Paul Milgrom;male;1948;72;USA
2020;chemistry;Jennifer A. Doudna;female;1964;56;USA
2020;chemistry;Emmanuelle Charpentier;female;1968;52;France
2020;physics;Andrea Ghez;female;1965;55;USA
2020;physics;Reinhard Genzel;male;1952;68;Germany
2020;physics;Roger Penrose;male;1931;89;United Kingdom
2020;medicine;Charles Rice;male;1952;68;USA
2020;medicine;Michael Houghton;male;1949;71;United Kingdom
2020;medicine;Harvey Alter;male;1935;85;USA
2019;economics;Michael Kremer;male;1964;55;USA
2019;economics;Esther Duflo;female;1972;47;France
2019;economics;Abhijit Banerjee;male;1961;58;India
2019;chemistry;Akira Yoshino;male;1948;71;Japan
2019;chemistry;M. Stanley Whittingham;male;1941;78;United Kingdom
2019;chemistry;John Goodenough;male;1922;97;Germany
2019;physics;Didier Queloz;male;1966;53;Switzerland
2019;physics;Michel Mayor;male;1942;77;Switzerland
2019;physics;James Peebles;male;1935;84;Canada
2019;medicine;Gregg Semenza;male;1956;63;USA
2019;medicine;Peter Ratcliffe;male;1954;65;United Kingdom
2019;medicine;William Kaelin;male;1957;62;USA
2018;physics;Gerard Mourou;male;1944;74;France
2018;economics;Paul M. Romer;male;1955;63;USA
2018;economics;William D. Nordhaus;male;1941;77;USA
2018;chemistry;Sir Gregory P. Winter;male;1951;67;United Kingdom
2018;chemistry;George P. Smith;male;1941;77;USA
2018;chemistry;Frances H. Arnold;female;1956;62;USA
2018;physics;Donna Strickland;female;1959;59;Canada
2018;physics;Arthur Ashkin;male;1922;96;USA
2018;medicine;Tasuku Honjo;male;1942;76;Japan
2018;medicine;James P. Allison;male;1948;70;USA
