year,category,name,gender,born,age,country
2025,physics,Juan M. Martinis,male,1958,67,USA
2025,physics,Michel H. Devoret,male,1953,72,France
2025,physics,Juan Clarke,male,1942,83,United Kingdom
2025,chemistry,Omar M. Yaghi,male,1965,60,Jordan
2025,chemistry,Richard Robson,male,1937,88,United Kingdom
2025,chemistry,Susumu Kitagawa,male,1951,74,Japan
2025,medicine,Shimon Sakaguchi,male,1951,74,Japan
2025,medicine,Frederick J. Ramsdell,male,1960,65,USA
2025,medicine,María E. Brunkow,female,1961,64,USA
2025,economics,Peter Howitt,male,1946,79,Canada
2025,economics,Philippe Aghion,male,1956,69,France
2025,economics,Joel Mokyr,male,1946,79,the Netherlands
2024,physics,Geoffrey Hinton,male,1947,77,United Kingdom
2024,physics,John J. Hopfield,male,1933,91,USA
2024,chemistry,John Jumper,male,1985,39,USA
2024,chemistry,Demis Hassabis ,male,1976,48,United Kingdom
2024,chemistry,David Baker,male,1962,62,USA
2024,medicine,Víctor Ambros,male,1953,71,USA
2024,medicine,Gary Ruvkun,male,1952,72,USA
2024,economics,James A. Robinson,male,1960,64,United Kingdom
2024,economics,Simon Johnson ,male,1963,61,United Kingdom
2024,economics,Daron Acemoglu,male,1967,57,Turkey
2023,medicine,Katalin Kariko,female,1955-01-17 00:00:00,68,Hungary
2023,chemistry,Alexei Ekimov,male,1945,78,Russia
2023,chemistry,Louis Brus,male,1943,80,USA
2023,chemistry,Moungi Bawendi,male,1961,62,France
2023,physics,Anne L Huillier,female,1958-08-16 00:00:00,65,France
2023,physics,Ferenc Krausz,male,1962-05-17 00:00:00,61,Hungary
2023,physics,Pierre Agostini,male,1941-07-23 00:00:00,82,Tunisia
2023,medicine,Drew Weissman,male,1959-09-07 00:00:00,64,USA
2022,physics,Alain Aspect,male,1947-06-15 00:00:00,75,France
2022,medicine,Svante Paebo,male,1955-04-20 00:00:00,67,Sweden
2022,economics,Philip Dybvig,male,1955-05-22 00:00:00,67,USA
2022,economics,Douglas Diamond,male,1953-10-25 00:00:00,69,USA
2022,economics,Ben Bernanke,male,1953-12-13 00:00:00,69,USA
2022,chemistry,Morten Meldal,male,1954,68,Denmark
2022,chemistry,Carolyn Bertozzi,female,1966-10-10 00:00:00,56,USA
2022,physics,Anton Zeilinger,male,1945-05-20 00:00:00,77,Austria
2022,physics,John Clauser,male,1942-12-01 00:00:00,80,USA
2022,chemistry,Barry Sharpless,male,1941-04-28 00:00:00,81,USA
2021,chemistry,Benjamin List,male,1968-01-11 00:00:00,53,Germany
2021,economics,Guido Imbens,male,1963-09-03 00:00:00,58,the Netherlands
2021,economics,Joshua Angrist,male,1960-09-18 00:00:00,61,USA
2021,economics,David Card,male,1956,65,Canada
2021,chemistry,David MacMillan,male,1968-03-16 00:00:00,53,United Kingdom
2021,physics,Giorgio Parisi,male,1948-08-04 00:00:00,73,Italy
2021,physics,Klaus Hasselmann,male,1931-10-25 00:00:00,90,Germany
2021,physics,Syukuro Manabe,male,1931-09-21 00:00:00,90,Japan
2021,medicine,Ardem Patapoutian,male,1967,54,Lebanon
2021,medicine,David Julius,male,1955-11-04 00:00:00,66,USA
2020,economics,Robert Wilson,male,1937-05-16 00:00:00,83,USA
2020,economics,Paul Milgrom,male,1948-04-20 00:00:00,72,USA
2020,chemistry,Jennifer A. Doudna,female,1964-02-19 00:00:00,56,USA
2020,chemistry,Emmanuelle Charpentier,female,1968-12-11 00:00:00,52,France
2020,physics,Andrea Ghez,female,1965-06-16 00:00:00,55,USA
2020,physics,Reinhard Genzel,male,1952-03-24 00:00:00,68,Germany
2020,physics,Roger Penrose,male,1931-08-08 00:00:00,89,United Kingdom
2020,medicine,Charles Rice,male,1952-08-25 00:00:00,68,USA
2020,medicine,Michael Houghton,male,1949,71,United Kingdom
2020,medicine,Harvey Alter,male,1935-09-12 00:00:00,85,USA
2019,economics,Michael Kremer,male,1964-11-12 00:00:00,55,USA
2019,economics,Esther Duflo,female,1972-10-25 00:00:00,47,France
2019,economics,Abhijit Banerjee,male,1961-02-21 00:00:00,58,India
2019,chemistry,Akira Yoshino,male,1948-01-30 00:00:00,71,Japan
2019,chemistry,M. Stanley Whittingham,male,1941-12-22 00:00:00,78,United Kingdom
2019,chemistry,John Goodenough,male,1922-07-25 00:00:00,97,Germany
2019,physics,Didier Queloz,male,1966-02-23 00:00:00,53,Switzerland
2019,physics,Michel Mayor,male,1942-01-12 00:00:00,77,Switzerland
2019,physics,James Peebles,male,1935-04-25 00:00:00,84,Canada
2019,medicine,Gregg Semenza,male,1956-07-12 00:00:00,63,USA
2019,medicine,Peter Ratcliffe,male,1954-05-14 00:00:00,65,United Kingdom
2019,medicine,William Kaelin,male,1957-11-23 00:00:00,62,USA
